c3-sh  225.3    1.822     
c3-ss  225.8    1.821     
c3-sx  232.6    1.809     
c3-sy  248.9    1.782     
ca-ca  478.4    1.387     
ca-cc  411.7    1.434     
ca-cd  411.7    1.434     
ca-ce  366.0    1.472     
ca-cf  366.0    1.472     
ca-cg  406.6    1.438     
ca-ch  406.6    1.438     
ca-cl  322.8    1.729     
ca-cp  466.1    1.395     
ca-cx  350.8    1.486     
ca-f   363.8    1.344     
ca-h4  342.9    1.088     
ca-h5  347.2    1.085     
ca-ha  344.3    1.087     
ca-i   252.4    2.095     
ca-n   372.3    1.422     
ca-n1  398.1    1.400     
ca-n2  320.6    1.470     
ca-n4  325.6    1.465     
ca-na  470.3    1.350     
ca-nb  483.1    1.342     
ca-nc  492.9    1.336     
ca-nd  492.9    1.336     
ca-ne  361.8    1.431     
ca-nf  361.8    1.431     
ca-nh  449.0    1.364     
ca-no  322.6    1.468     
ca-o   519.7    1.275     
ca-oh  386.1    1.362     
ca-os  372.4    1.373     
ca-p2  243.0    1.840     
ca-p3  252.7    1.824     
ca-p4  264.3    1.806     
ca-p5  271.6    1.795     
ca-pe  249.6    1.829     
ca-pf  249.6    1.829     
ca-px  252.1    1.825     
ca-py  268.3    1.800     
ca-s   277.9    1.739     
ca-s4  245.2    1.788     
ca-s6  263.9    1.759     
ca-sh  245.8    1.787     
ca-ss  256.6    1.770     
ca-sx  233.8    1.807     
ca-sy  247.7    1.784     
cc-cc  418.3    1.429     
cc-cd  504.0    1.371     
cc-cf  519.2    1.362     
cc-cg  420.9    1.427     
cc-ch  420.9    1.427     
cc-cl  348.3    1.700     
cc-h4  350.1    1.083     
cc-h5  356.0    1.079     
cc-ha  347.2    1.085     
cc-n   426.0    1.380     
cc-n2  561.3    1.298     
cc-na  438.8    1.371     
cc-nc  431.6    1.376     
cc-nd  494.6    1.335     
cc-nh  449.0    1.364     
cc-oh  405.9    1.347     
cc-os  376.1    1.370     
cc-pd  318.2    1.733     
cc-ss  279.3    1.737     
cd-cd  418.3    1.429     
cd-cd  504.0    1.371     
cd-ce  519.2    1.362     
cd-cg  420.9    1.427     
cd-ch  420.9    1.427     
cd-cl  348.3    1.700     
cd-h4  350.1    1.083     
cd-h5  356.0    1.079     
cd-ha  347.2    1.085     
cd-n   426.0    1.380     
cd-n2  561.3    1.298     
cd-na  438.8    1.371     
cd-nc  494.6    1.335     
cd-nd  431.6    1.376     
cd-nh  449.0    1.364     
cd-oh  405.9    1.347     
cd-os  376.1    1.370     
cd-pc  318.2    1.733     
cd-ss  279.3    1.737     
ce-ce  390.5    1.451     
ce-cf  562.4    1.338     
ce-cg  415.6    1.431     
ce-ch  415.6    1.431     
ce-ha  341.5    1.089     
ce-n1  522.2    1.319     
ce-n2  599.8    1.279     
ce-ne  381.8    1.414     
ce-nh  484.7    1.341     
ce-p2  259.1    1.814     
ce-pe  256.5    1.818     
ce-px  254.6    1.821     
ce-py  272.3    1.794     
ce-s   324.5    1.680     
ce-sx  239.7    1.797     
ce-sy  248.9    1.782     
cf-cf  390.5    1.451     
cf-cf  562.4    1.338     
cf-cg  415.6    1.431     
cf-ch  415.6    1.431     
cf-ha  341.5    1.089     
cf-n1  522.2    1.319     
cf-n2  599.8    1.279     
cf-nf  381.8    1.414     
cf-nh  484.7    1.341     
cf-p2  259.1    1.814     
cf-pf  256.5    1.818     
cf-px  254.6    1.821     
cf-py  272.3    1.794     
cf-s   324.5    1.680     
cf-sx  239.7    1.797     
cf-sy  248.9    1.782     
cg-cg  494.2    1.377     
cg-ch  949.5    1.191     
cg-n1  994.7    1.143     
cg-ne  450.5    1.363     
cg-pe  429.8    1.621     
ch-ch  494.2    1.377     
ch-ch  949.5    1.191     
ch-n1  994.7    1.143     
ch-nf  450.5    1.363     
ch-pf  429.8    1.621     
cl-cl  143.3    2.267     
cl-cx  301.8    1.755     
cl-cy  292.0    1.768     
cl-f   298.6    1.648     
cl-i   163.5    2.550     
cl-n   331.8    1.728     
cl-n1  431.6    1.630     
cl-n2  263.4    1.819     
cl-n3  298.6    1.769     
cl-n4  311.1    1.753     
cl-na  253.2    1.835     
cl-nh  303.2    1.763     
cl-no  250.1    1.840     
cl-o   557.6    1.483     
cl-oh  309.7    1.690     
cl-os  278.8    1.730     
cl-p2  217.5    2.070     
cl-p3  249.4    2.008     
cl-p4  249.4    2.008     
cl-p5  249.4    2.008     
cl-pb  255.6    1.997     
cl-s   208.7    2.072     
cl-s2  172.7    2.161     
cl-s4  208.7    2.072     
cl-s6  208.7    2.072     
cl-sh  208.7    2.072     
cl-ss  208.7    2.072     
cl-sx  208.7    2.072     
cl-sy  208.7    2.072     
cp-cp  346.5    1.490     
cp-nb  470.3    1.350     
cq-cq  346.5    1.490     
cu-cu  653.7    1.294     
cu-cx  327.3    1.509     
cu-ha  353.0    1.081     
cv-cv  568.1    1.335     
cv-cy  323.5    1.513     
cv-ha  344.3    1.087     
cx-cv  328.3    1.508     
cx-cx  337.3    1.499     
cx-cy  321.5    1.515     
cx-f   347.2    1.358     
cx-h1  344.3    1.087     
cx-h2  350.1    1.083     
cx-hc  345.8    1.086     
cx-n   315.7    1.475     
cx-n2  309.1    1.482     
