pf-c -pf    93.9      113.77 
py-c -py    92.1      123.80 
s -c -s     65.0      120.40 
s -c -sh    62.5      121.94 
s -c -ss    61.9      125.90 
s4-c -s4    61.3      108.81 
s6-c -s6    59.4      115.75 
sh-c -sh    62.5      115.33 
ss-c -ss    63.8      113.00 
sx-c -sx    60.8      108.80 
sy-c -sy    59.5      115.78 
br-c1-c1    54.9      180.00 
c -c1-c1    56.3      180.00 
c1-c1-c1    64.4      180.00 
c1-c1-c2    60.8      180.00 
c1-c1-c3    56.4      177.99 
c1-c1-ca    56.9      180.00 
c1-c1-cl    51.4      180.00 
c1-c1-f     61.0      180.00 
c1-c1-ha    44.8      178.38 
c1-c1-hc    44.7      180.00 
c1-c1-i     49.8      180.00 
c1-c1-n     62.1      177.18 
c1-c1-n1    67.2      180.00 
c1-c1-n2    65.2      180.00 
c1-c1-n3    59.8      180.00 
c1-c1-n4    59.1      179.56 
c1-c1-na    61.2      176.75 
c1-c1-nh    61.1      179.27 
c1-c1-no    59.4      180.00 
c1-c1-o     66.8      180.00 
c1-c1-oh    62.7      176.65 
c1-c1-os    62.8      176.42 
c1-c1-p2    65.2      180.00 
c1-c1-p3    66.4      169.63 
c1-c1-p4    64.5      180.00 
c1-c1-p5    66.5      176.17 
c1-c1-s     55.7      179.97 
c1-c1-s4    54.1      167.47 
c1-c1-s6    53.7      174.38 
c1-c1-sh    54.1      180.00 
c1-c1-ss    55.2      173.22 
c2-c1-c2    58.2      180.00 
c2-c1-o     63.1      179.50 
c2-c1-s2    56.7      172.98 
c3-c1-n1    58.3      177.57 
cg-c1-ha    44.0      177.41 
ch-c1-ha    44.0      177.41 
n1-c1-n1    93.2      102.01 
n1-c1-n3    63.7      169.70 
n1-c1-os    64.7      178.59 
n1-c1-p3    67.7      171.20 
n1-c1-ss    55.8      178.68 
n2-c1-o     69.1      171.79 
n2-c1-s     57.8      174.05 
ne-c1-o     68.7      172.33 
nf-c1-o     68.7      172.33 
br-c2-br    68.6      115.06 
br-c2-c2    63.1      122.42 
br-c2-ha    43.2      113.28 
c -c2-c     66.6      118.88 
c -c2-c2    67.9      120.70 
c -c2-c3    63.9      119.70 
c -c2-ha    47.7      121.33 
c -c2-hc    48.0      119.70 
c1-c2-c1    72.3      116.77 
c1-c2-c2    70.3      121.62 
c1-c2-c3    65.1      121.60 
c1-c2-f     68.0      124.90 
c1-c2-ha    50.4      121.37 
c2-c2-c2    69.8      121.81 
c2-c2-c3    64.3      123.42 
c2-c2-ca    66.9      117.00 
c2-c2-cc    70.2      117.21 
c2-c2-cd    70.2      117.21 
c2-c2-cl    58.4      122.79 
c2-c2-cx    69.7      105.70 
c2-c2-cy    69.7      103.30 
c2-c2-f     67.8      124.01 
c2-c2-h4    49.3      124.68 
c2-c2-ha    50.0      120.94 
c2-c2-hc    50.3      119.70 
c2-c2-hx    49.0      126.45 
c2-c2-i     56.3      121.03 
c2-c2-n     68.8      123.45 
c2-c2-n2    71.3      126.01 
c2-c2-n3    70.3      124.55 
c2-c2-n4    67.2      121.52 
c2-c2-na    69.8      121.38 
c2-c2-nh    69.8      124.99 
c2-c2-no    67.6      121.89 
c2-c2-o     71.0      130.89 
c2-c2-oh    71.6      122.28 
c2-c2-os    71.2      121.43 
c2-c2-p2    84.7      115.10 
c2-c2-p3    75.2      124.83 
c2-c2-p4    77.2      119.76 
c2-c2-p5    75.4      125.97 
c2-c2-s     61.3      129.37 
c2-c2-s4    62.9      119.84 
c2-c2-s6    62.8      120.01 
c2-c2-sh    61.0      125.70 
c2-c2-ss    63.9      118.62 
c3-c2-c3    62.7      116.52 
c3-c2-cc    63.2      125.64 
c3-c2-cd    63.2      125.64 
c3-c2-ce    65.7      117.40 
c3-c2-cf    65.7      117.40 
c3-c2-h4    43.8      127.53 
c3-c2-ha    45.7      117.30 
c3-c2-hc    45.1      120.00 
c3-c2-n2    67.1      121.24 
c3-c2-na    65.0      122.54 
c3-c2-ne    67.0      122.15 
c3-c2-nf    67.0      122.15 
c3-c2-nh    66.7      118.59 
c3-c2-o     69.1      116.88 
c3-c2-oh    67.4      118.81 
c3-c2-p2    79.0      122.74 
c3-c2-s     62.8      115.44 
ca-c2-ca    63.5      117.88 
ca-c2-hc    45.3      123.30 
cc-c2-ha    49.1      120.76 
cd-c2-ha    49.1      120.76 
ce-c2-ha    49.6      121.19 
cf-c2-ha    49.6      121.19 
cl-c2-cl    55.3      114.77 
cl-c2-ha    40.9      113.20 
cx-c2-ha    44.3      125.40 
f -c2-f     70.7      109.60 
f -c2-ha    51.3      110.00 
h4-c2-n     49.2      119.41 
h4-c2-n2    53.3      116.67 
h4-c2-na    50.4      116.25 
h4-c2-os    52.2      113.70 
h4-c2-ss    42.8      118.47 
h5-c2-n2    52.0      123.09 
h5-c2-na    48.3      126.39 
ha-c2-ha    38.0      117.65 
ha-c2-n     50.5      113.40 
ha-c2-n1    51.8      120.76 
ha-c2-n2    52.4      120.54 
ha-c2-n3    52.4      113.54 
ha-c2-na    51.2      112.42 
ha-c2-ne    52.5      121.18 
ha-c2-nf    52.5      121.18 
ha-c2-nh    51.3      116.68 
ha-c2-no    49.1      112.14 
ha-c2-o     54.2      117.23 
ha-c2-oh    52.3      116.18 
ha-c2-os    52.4      112.69 
ha-c2-p2    55.7      121.48 
ha-c2-p3    52.0      114.31 
ha-c2-p4    51.6      117.86 
ha-c2-p5    51.2      120.10 
ha-c2-pe    55.0      121.46 
ha-c2-pf    55.0      121.46 
ha-c2-s     43.4      115.70 
ha-c2-s2    46.2      118.74 
ha-c2-s4    42.8      115.30 
ha-c2-s6    42.6      116.60 
ha-c2-sh    43.2      111.74 
ha-c2-ss    43.2      116.72 
hc-c2-hc    37.8      118.92 
hc-c2-n     50.3      114.04 
hc-c2-n2    52.4      120.40 
hc-c2-na    49.7      119.10 
hc-c2-nh    52.0      113.36 
hc-c2-no    49.1      112.12 
hc-c2-oh    52.3      116.22 
hc-c2-os    51.7      116.11 
hc-c2-p3    51.4      117.19 
hc-c2-p5    51.3      119.58 
hc-c2-s4    42.7      116.12 
hc-c2-s6    42.8      115.45 
hc-c2-sh    42.4      115.63 
hc-c2-ss    43.4      115.62 
hn-c2-n4    11.9      112.74 
hx-c2-n4    48.4      113.03 
i -c2-i     61.0      117.94 
n -c2-n     71.5      113.23 
n -c2-n2    70.6      125.95 
n -c2-na    74.6      105.42 
n -c2-ss    67.4      109.31 
n2-c2-n2    78.0      113.82 
n2-c2-na    71.7      123.62 
n2-c2-nh    72.6      124.27 
n2-c2-oh    74.4      122.08 
n2-c2-os    74.6      118.96 
n2-c2-ss    62.9      129.77 
n3-c2-n3    73.4      118.47 
n4-c2-n4    67.7      113.93 
na-c2-na    73.7      109.33 
ne-c2-nh    73.3      122.72 
nf-c2-nh    73.3      122.72 
nh-c2-nh    72.9      117.50 
no-c2-no    68.6      113.90 
o -c2-o     77.9      121.69 
o -c2-s     64.0      127.68 
oh-c2-oh    76.0      114.33 
os-c2-os    74.2      115.80 
p2-c2-p2   100.6      129.80 
p3-c2-p3    97.1      115.54 
p5-c2-p5    95.3      121.85 
